162057.900; 48.466542; -4.571333; 51.7; 104° 16'
162111.900; 48.466403; -4.571432; 51.5; 104° 24'
162127.700; 48.466342; -4.571642; 51.4; 105° 23'
162140.800; 48.466207; -4.571942; 51.8; 104° 35'
162155.800; 48.466212; -4.572160; 52.8; 97° 48'
162231.900; 48.466045; -4.572327; 54.5; 128° 53'
162300.200; 48.465847; -4.572335; 55.1; 143° 27'
162318.800; 48.465583; -4.572353; 54.6; 147° 45'
162334.900; 48.465490; -4.572283; 54.1; 144° 17'
162348.300; 48.465315; -4.572255; 53.6; 148° 9'
162409.200; 48.465065; -4.572240; 54.0; 143° 24'
162436.300; 48.464913; -4.572098; 56.5; 184° 19'
162456.200; 48.464773; -4.572185; 60.4; 124° 21'
162515.700; 48.464650; -4.572375; 62.8; 120° 54'
162529.800; 48.464528; -4.572628; 65.1; 114° 50'
162721.700; 48.464628; -4.572802; 68.6; 13° 37'
183854.585; 0.000000; 0.000000; ; 88° 10'
